"employeeid","firstname","lastname","email","phonenumber","hiredate","salary","department","isactive","jobtitle"
2,"Anurag","Verma","anurag.verma@example.com","9123456789","2020-03-10","50000",0,True,"HR Manager"
6,"Aditi","Sharma","aditi.sharma@example.com","9876543210","2019-02-15","45000",0,True,"Software Engineer"
11,"Ankit","Chawla","ankit.chawla@example.com","9823456789","2017-07-30","81000",0,False,"Business Analyst"
17,"Ajay","Bansal","ajay.bansal@example.com","9945678901","2021-07-13","59000",0,True,"Recruitment Specialist"
22,"Alok","Chauhan","alok.chauhan@example.com","9911223344","2020-11-05","72000",0,True,"Senior Consultant"
28,"Abhinav","Tiwari","abhinav.tiwari@example.com","9945678234","2019-06-27","58000",0,True,"Executive Assistant"
32,"Arjun","Desai","arjun.desai@example.com","9876234510","2021-08-12","44000",0,True,"Backend Developer"
46,"Anjali","Iyer","anjali.iyer@example.com","9812345678","2021-11-17","65000",0,True,"Marketing Executive"
47,"Amit","Gupta","amit.gupta@example.com","9876541234","2017-03-29","80000",0,True,"Project Manager"
53,"Arjun","Nair","arjun.nair@example.com","9876501234","2020-08-30","60000",0,True,"System Administrator"
